title,url,image,subtitle
Berkshire,https://www.bbc.co.uk/sounds/brand/p0msvbq9,images/ntk_Berkshire.jpg,
Bristol,https://www.bbc.co.uk/sounds/brand/p0m7zfzr,images/ntk_Bristol.jpg,
Cambridgeshire,https://www.bbc.co.uk/sounds/brand/p0msvkph,images/ntk_Cambridgeshire.jpg,
Cornwall,https://www.bbc.co.uk/sounds/brand/p0n10j1l,images/ntk_Cornwall.jpg,
Cumbria,https://www.bbc.co.uk/sounds/brand/p0n10kn2,images/ntk_Cumbria.jpg,
Coventry & Warwickshire,https://www.bbc.co.uk/sounds/brand/p0n10j90,images/ntk_CoventryWarwickshire.jpg,
Derbyshire,https://www.bbc.co.uk/sounds/brand/p0n10kqd,images/ntk_Derbyshire.jpg,
Devon,https://www.bbc.co.uk/sounds/brand/p0n10ks6,images/ntk_Devon.jpg,
Essex,https://www.bbc.co.uk/sounds/brand/p0n10kvj,images/ntk_Essex.jpg,
Gloucestershire,https://www.bbc.co.uk/sounds/brand/p0n10lrq,images/ntk_Gloucestershire.jpg,
Guernsey,https://www.bbc.co.uk/sounds/brand/p0n10m20,images/ntk_Guernsey.jpg,
Hereford & Worcester,https://www.bbc.co.uk/sounds/brand/p0n10mkw,images/ntk_HerefordWorcester.jpg,
East Yorkshire,https://www.bbc.co.uk/sounds/brand/p0n10n5n,images/ntk_EastYorkshire.jpg,
Jersey,https://www.bbc.co.uk/sounds/brand/p0n10p5h,images/ntk_Jersey.jpg,
Kent,https://www.bbc.co.uk/sounds/brand/p0n10pty,images/ntk_Kent.jpg,
Lancashire,https://www.bbc.co.uk/sounds/brand/p0n10qkd,images/ntk_Lancashire.jpg,
West Yorkshire,https://www.bbc.co.uk/sounds/brand/p0n10qxw,images/ntk_WestYorkshire.jpg,Leeds
Leicestershire,https://www.bbc.co.uk/sounds/brand/p0n10rdv,images/ntk_Leicestershire.jpg,
Lincolnshire,https://www.bbc.co.uk/sounds/brand/p0n10rk5,images/ntk_Lincolnshire.jpg,
London,TBC,images/ntk_London.jpg,
Manchester,https://www.bbc.co.uk/sounds/brand/p0m7zg3c,images/ntk_Manchester.jpg,
Merseyside,https://www.bbc.co.uk/sounds/brand/p0n10rqj,images/ntk_Merseyside.jpg,
North East,https://www.bbc.co.uk/sounds/brand/p0n10rxn,images/ntk_NorthEast.jpg,Newcastle
Norfolk,https://www.bbc.co.uk/sounds/brand/p0n10s3b,images/ntk_Norfolk.jpg,
Northampton,https://www.bbc.co.uk/sounds/brand/p0n10sk0,images/ntk_Northampton.jpg,
Nottingham,https://www.bbc.co.uk/sounds/brand/p0n10sly,images/ntk_Nottingham.jpg,
Oxfordshire,https://www.bbc.co.uk/sounds/brand/p0n10sp8,images/ntk_Oxfordshire.jpg,
South Yorkshire,https://www.bbc.co.uk/sounds/brand/p0n10sv5,images/ntk_SouthYorkshire.jpg,Sheffield
Shropshire,https://www.bbc.co.uk/sounds/brand/p0n10t04,images/ntk_Shropshire.jpg,
"Hampshire, Dorset and the IoW",https://www.bbc.co.uk/sounds/brand/p0n10t37,images/ntk_HampshireDorsettheIsleofWight.jpg,Solent
Somerset,https://www.bbc.co.uk/sounds/brand/p0m7zgct,images/ntk_Somerset.jpg,
Cheshire,https://www.bbc.co.uk/sounds/brand/p0nbcq0w,images/ntk_Cheshire.jpg,"Stoke, Merseyside, Manchester"
Staffordshire,https://www.bbc.co.uk/sounds/brand/p0n10tbl,images/ntk_Staffordshire.jpg,"Stoke, Derby, WM"
Suffolk,https://www.bbc.co.uk/sounds/brand/p0n10tm7,images/ntk_Suffolk.jpg,
Surrey,https://www.bbc.co.uk/sounds/brand/p0n10v38,images/ntk_Surrey.jpg,
Sussex,https://www.bbc.co.uk/sounds/brand/p0n10vd1,images/ntk_Sussex.jpg,
"Tees, Co. Durham & N. Yorkshire",https://www.bbc.co.uk/sounds/brand/p0n10vv7,images/ntk_TeesCoDurhamNYorkshire.jpg,
"Beds, Herts and Bucks",https://www.bbc.co.uk/sounds/brand/p0n10w5f,images/ntk_BedsHertsBucks.jpg,3CR
Wiltshire,https://www.bbc.co.uk/sounds/brand/p0n10wss,images/ntk_Wiltshire.jpg,
Birmingham & Black Country,https://www.bbc.co.uk/sounds/brand/p0n10x52,images/ntk_BirminghamBlackCountry.jpg,WM
York,https://www.bbc.co.uk/sounds/brand/p0n10xhl,images/ntk_York.jpg,
